day,nominal,S_2_RCP_8.5,S5_4.0
12354,-0.735833333,-0.735833333,-0.735833333
12355,-0.986291667,-0.986291667,-0.986291667
12356,-1.141125,-1.141125,-1.141125
12357,-0.922375,-0.922375,-0.922375
12358,-0.986458333,-0.986458333,-0.986458333
12359,-0.951666667,-0.951666667,-0.951666667
12360,-0.765208333,-0.765208333,-0.765208333
12361,-0.658875,-0.658875,-0.658875
12362,-0.618166667,-0.618166667,-0.618166667
12363,-0.617916667,-0.617916667,-0.617916667
12364,-0.660708333,-0.660708333,-0.660708333
12365,-0.712125,-0.712125,-0.712125
12366,-0.860416667,-0.860416667,-0.860416667
12367,-0.909458333,-0.909458333,-0.909458333
12368,-0.917708333,-0.917708333,-0.917708333
12369,-0.931541667,-0.931541667,-0.931541667
12370,-0.978333333,-0.978333333,-0.978333333
12371,-0.978916667,-0.978916667,-0.978916667
12372,-0.827541667,-0.827541667,-0.827541667
12373,-0.710083333,-0.710083333,-0.710083333
12374,-0.655416667,-0.655416667,-0.655416667
12375,-0.746291667,-0.746291667,-0.746291667
12376,-0.998291667,-0.998291667,-0.998291667
12377,-1.269416667,-1.269416667,-1.269416667
12378,-1.49825,-1.49825,-1.49825
12379,-1.560583333,-1.560583333,-1.560583333
12380,-1.595666667,-1.595666667,-1.595666667
12381,-1.670708333,-1.670708333,-1.670708333
12382,-1.804541667,-1.804541667,-1.804541667
12383,-1.934666667,-1.934666667,-1.934666667
12384,-1.956625,-1.956625,-1.956625
12385,-2.051291667,-2.051291667,-2.051291667
12386,-2.090833333,-2.090833333,-2.090833333
12387,-2.18675,-2.18675,-2.18675
12388,-2.326208333,-2.326208333,-2.326208333
12389,-2.305875,-2.305875,-2.305875
12390,-2.148375,-2.148375,-2.148375
12391,-2.023166667,-2.023166667,-2.023166667
12392,-1.981083333,-1.981083333,-1.981083333
12393,-1.961416667,-1.961416667,-1.961416667
12394,-1.717541667,-1.717541667,-1.717541667
12395,-1.39975,-1.39975,-1.39975
12396,-1.151708333,-1.151708333,-1.151708333
12397,-0.933,-0.933,-0.933
12398,-0.892541667,-0.892541667,-0.892541667
12399,-0.869041667,-0.869041667,-0.869041667
12400,-0.839333333,-0.839333333,-0.839333333
12401,-1.063416667,-1.063416667,-1.063416667
12402,-1.305125,-1.305125,-1.305125
12403,-1.489708333,-1.489708333,-1.489708333
12404,-1.512375,-1.512375,-1.512375
12405,-1.661625,-1.661625,-1.661625
12406,-1.985625,-1.985625,-1.985625
12407,-2.181958333,-2.181958333,-2.181958333
12408,-2.253916667,-2.253916667,-2.253916667
12409,-2.337916667,-2.337916667,-2.337916667
12410,-2.27525,-2.27525,-2.27525
12411,-3.642541667,-3.642541667,-3.642541667
12412,-3.417041667,-3.417041667,-3.417041667
12413,-3.254583333,-3.254583333,-3.254583333
12414,-3.275041667,-3.275041667,-3.275041667
12415,-3.409958333,-3.409958333,-3.409958333
12416,-3.320916667,-3.320916667,-3.320916667
12417,-2.968458333,-2.968458333,-2.968458333
12418,-2.758083333,-2.758083333,-2.758083333
12419,-2.7705,-2.7705,-2.7705
12420,-2.812041667,-2.812041667,-2.812041667
12421,-2.755125,-2.755125,-2.755125
12422,-2.721916667,-2.721916667,-2.721916667
12423,-2.834208333,-2.834208333,-2.834208333
12424,-3.070791667,-3.070791667,-3.070791667
12425,-3.352166667,-3.352166667,-3.352166667
12426,-3.537708333,-3.537708333,-3.537708333
12427,-3.518708333,-3.518708333,-3.518708333
12428,-3.635041667,-3.635041667,-3.635041667
12429,-3.926708333,-3.926708333,-3.926708333
12430,-4.093083333,-4.093083333,-4.093083333
12431,-4.020791667,-4.020791667,-4.020791667
12432,-4.01375,-4.01375,-4.01375
12433,-4.169208333,-4.169208333,-4.169208333
12434,-4.370958333,-4.370958333,-4.370958333
12435,-4.611,-4.611,-4.611
12436,-4.779958333,-4.779958333,-4.779958333
12437,-4.958458333,-4.958458333,-4.958458333
12438,-5.11475,-5.11475,-5.11475
12439,-5.117583333,-5.117583333,-5.117583333
12440,-5.195916667,-5.195916667,-5.195916667
12441,-5.335875,-5.335875,-5.335875
12442,-5.502833333,-5.502833333,-5.502833333
12443,-5.653708333,-5.653708333,-5.653708333
12444,-5.842666667,-5.842666667,-5.842666667
12445,-5.964416667,-5.964416667,-5.964416667
12446,-5.927041667,-5.927041667,-5.927041667
12447,-5.907708333,-5.907708333,-5.907708333
12448,-5.900166667,-5.900166667,-5.900166667
12449,-5.737958333,-5.737958333,-5.737958333
12450,-5.340333333,-5.340333333,-5.340333333
12451,-5.040041667,-5.040041667,-5.040041667
12452,-4.849583333,-4.849583333,-4.849583333
12453,-4.720958333,-4.720958333,-4.720958333
12454,-4.590083333,-4.590083333,-4.590083333
12455,-4.433833333,-4.433833333,-4.433833333
12456,-4.298833333,-4.298833333,-4.298833333
12457,-4.286083333,-4.286083333,-4.286083333
12458,-4.435458333,-4.435458333,-4.435458333
12459,-4.52825,-4.52825,-4.52825
12460,-4.584833333,-4.584833333,-4.584833333
12461,-4.637208333,-4.637208333,-4.637208333
12462,-4.682458333,-4.682458333,-4.682458333
12463,-4.863541667,-4.863541667,-4.863541667
12464,-5.0855,-5.0855,-5.0855
12465,-5.303,-5.303,-5.303
12466,-5.579166667,-5.579166667,-5.579166667
12467,-5.799166667,-5.799166667,-5.799166667
12468,-5.955916667,-5.955916667,-5.955916667
12469,-6.084583333,-6.084583333,-6.084583333
12470,-6.193083333,-6.193083333,-6.193083333
12471,-6.217666667,-6.217666667,-6.217666667
12472,-6.16825,-6.16825,-6.16825
12473,-6.168625,-6.168625,-6.168625
12474,-6.180875,-6.180875,-6.180875
12475,-6.203875,-6.203875,-6.203875
12476,-6.287416667,-6.287416667,-6.287416667
12477,-6.419166667,-6.419166667,-6.419166667
12478,-6.617083333,-6.617083333,-6.617083333
12479,-6.730583333,-6.730583333,-6.730583333
12480,-6.820791667,-6.820791667,-6.820791667
12481,-6.917458333,-6.917458333,-6.917458333
12482,-6.990875,-6.990875,-6.990875
12483,-7.017333333,-7.017333333,-7.017333333
12484,-7.046333333,-7.046333333,-7.046333333
12485,-7.115958333,-7.115958333,-7.115958333
12486,-7.182166667,-7.182166667,-7.182166667
12487,-7.163083333,-7.163083333,-7.163083333
12488,-7.113,-7.113,-7.113
12489,-7.058958333,-7.058958333,-7.058958333
12490,-7.101625,-7.101625,-7.101625
12491,-7.179541667,-7.179541667,-7.179541667
12492,-7.094666667,-7.094666667,-7.094666667
12493,-6.95975,-6.95975,-6.95975
12494,-6.964125,-6.964125,-6.964125
12495,-7.164916667,-7.164916667,-7.164916667
12496,-7.3395,-7.3395,-7.3395
12497,-7.368375,-7.368375,-7.368375
12498,-7.180458333,-7.180458333,-7.180458333
12499,-7.082916667,-7.082916667,-7.082916667
12500,-7.095541667,-7.095541667,-7.095541667
12501,-7.142,-7.142,-7.142
12502,-7.228041667,-7.228041667,-7.228041667
12503,-7.327625,-7.327625,-7.327625
12504,-7.394666667,-7.394666667,-7.394666667
12505,-7.421708333,-7.421708333,-7.421708333
12506,-7.341625,-7.341625,-7.341625
12507,-7.2975,-7.2975,-7.2975
12508,-7.354458333,-7.354458333,-7.354458333
12509,-7.467708333,-7.467708333,-7.467708333
12510,-7.6045,-7.6045,-7.6045
12511,-7.737625,-7.737625,-7.737625
12512,-7.788625,-7.788625,-7.788625
12513,-7.762541667,-7.762541667,-7.762541667
